INFO 2020-09-11 04:24:58,690 basehttp 154 "POST /admin/companyInfo/department/add/ HTTP/1.1" 302 0
INFO 2020-09-11 04:24:58,735 basehttp 154 "GET /admin/companyInfo/department/ HTTP/1.1" 200 4882
INFO 2020-09-11 04:24:58,810 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3223
INFO 2020-09-11 04:26:10,941 basehttp 154 "GET /admin/companyInfo/department/add/ HTTP/1.1" 200 7553
INFO 2020-09-11 04:26:10,985 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3223
INFO 2020-09-11 04:26:25,939 basehttp 154 "POST /admin/companyInfo/department/add/ HTTP/1.1" 302 0
INFO 2020-09-11 04:26:25,986 basehttp 154 "GET /admin/companyInfo/department/ HTTP/1.1" 200 5128
INFO 2020-09-11 04:26:26,057 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3223
INFO 2020-09-11 04:26:29,842 basehttp 154 "GET /users/index/ HTTP/1.1" 200 14115
WARNING 2020-09-11 04:26:29,891 log 228 Not Found: /users/index/js/navtab.js
INFO 2020-09-11 04:26:29,893 basehttp 154 "GET /users/index/company/structure/ HTTP/1.1" 200 17796
WARNING 2020-09-11 04:26:29,893 basehttp 154 "GET /users/index/js/navtab.js HTTP/1.1" 404 2822
INFO 2020-09-11 04:32:46,454 basehttp 154 "GET /users/index/ HTTP/1.1" 200 14115
INFO 2020-09-11 04:32:46,543 basehttp 154 "GET /users/index/company/structure/ HTTP/1.1" 200 17796
WARNING 2020-09-11 04:32:46,552 log 228 Not Found: /users/index/js/navtab.js
WARNING 2020-09-11 04:32:46,553 basehttp 154 "GET /users/index/js/navtab.js HTTP/1.1" 404 2822
INFO 2020-09-11 04:33:40,240 basehttp 154 "GET /users/index/company/department_edit/?nid=49 HTTP/1.1" 200 6421
INFO 2020-09-11 04:33:47,974 basehttp 154 "GET /users/index/ HTTP/1.1" 200 14115
INFO 2020-09-11 04:33:48,056 basehttp 154 "GET /users/index/company/structure/ HTTP/1.1" 200 17796
WARNING 2020-09-11 04:33:48,061 log 228 Not Found: /users/index/js/navtab.js
WARNING 2020-09-11 04:33:48,062 basehttp 154 "GET /users/index/js/navtab.js HTTP/1.1" 404 2822
INFO 2020-09-11 05:30:36,834 autoreload 203 /home/moluo/Desktop/LarryCMD/LarryCMD/src/companyInfo/views.py changed, reloading.
INFO 2020-09-11 05:30:37,250 autoreload 578 Watching for file changes with StatReloader
INFO 2020-09-11 05:31:07,006 autoreload 203 /home/moluo/Desktop/LarryCMD/LarryCMD/src/companyInfo/views.py changed, reloading.
INFO 2020-09-11 05:31:07,321 autoreload 578 Watching for file changes with StatReloader
INFO 2020-09-11 05:32:35,930 autoreload 578 Watching for file changes with StatReloader
INFO 2020-09-11 05:32:54,311 basehttp 154 "GET /users/index/ HTTP/1.1" 200 14115
WARNING 2020-09-11 05:32:54,369 log 228 Not Found: /users/index/js/navtab.js
WARNING 2020-09-11 05:32:54,370 basehttp 154 "GET /users/index/js/navtab.js HTTP/1.1" 404 2822
INFO 2020-09-11 05:32:54,370 basehttp 154 "GET /users/index/company/structure/ HTTP/1.1" 200 17796
INFO 2020-09-11 05:32:58,145 basehttp 154 "GET /users/index/company/detail/ HTTP/1.1" 200 4606
INFO 2020-09-11 05:33:00,284 basehttp 154 "GET /users/index/company/structure/ HTTP/1.1" 200 17796
INFO 2020-09-11 05:33:02,997 basehttp 154 "GET /users/index/company/position/ HTTP/1.1" 200 9350
WARNING 2020-09-11 05:33:03,054 log 228 Not Found: /users/index/json/newsList.json
WARNING 2020-09-11 05:33:03,055 basehttp 154 "GET /users/index/json/newsList.json HTTP/1.1" 404 2840
INFO 2020-09-11 05:33:24,958 autoreload 203 /home/moluo/Desktop/LarryCMD/LarryCMD/src/companyInfo/views.py changed, reloading.
INFO 2020-09-11 05:33:25,284 autoreload 578 Watching for file changes with StatReloader
INFO 2020-09-11 05:34:08,388 autoreload 578 Watching for file changes with StatReloader
INFO 2020-09-11 05:34:21,306 autoreload 578 Watching for file changes with StatReloader
INFO 2020-09-11 05:34:24,792 basehttp 154 "GET /users/index/ HTTP/1.1" 200 14115
WARNING 2020-09-11 05:34:24,877 log 228 Not Found: /users/index/js/navtab.js
WARNING 2020-09-11 05:34:24,878 basehttp 154 "GET /users/index/js/navtab.js HTTP/1.1" 404 2822
